Question,Answer
"# Fill The Blank:

An organisation will usually appoint a ......... of ............... who oversee strategy to make sure that it stays aligned with the organisation's ............ and .............

| Strategic planning and decisions","Board of directors, Ethics, Values"
"# State:

3 things that, when digitall transforming an organisation, are important for the long-term plan

| Strategic planning and decisions","* Implementation of new technologies
* Integrated digital media channels
* Smart ways of working in a digital environment using the available technology"
"# State:

4 things a strategic plan document

| Strategic planning and decisions","* Mission
* Vision
* Values of the organisation
* Long-term goals and how they will be achieved"
"# State:

Why a thought out strategic plan is crucial in supporting growth of the business and success

| Strategic planning and decisions",It informs the organisation and it's employees how best to respond to opportunities and challenges
"# Fill The Blank:

It is important to include ........... in strategic planning to ensure an organisation's ethos and ........ are considered and all ............ should be considered

| Strategic planning and decisions","Ethics, Values, Stakeholders"
"# State:

4 key ethical considerations included in any strategic planning

| Strategic planning and decisions","* Stakeholder participation
* Organisational Values
* Individual Values
* Managing Change"
"# State:

Any change in strategy has an impact on an organisation's structure and can be manged in different ways. State 3 other things that are important to consider

| Strategic planning and decisions","3 of:
* Who will gain from the change?
* Who will not gain from the change?
* Is the change worth the risk?
* How will the organisation work with those affected by the change in order to help them make the transition?
* How will the organisation work with those who cannot make the transition?"
"# Define:

Stakeholder",Anyone with an interest in a business or an organisation
"# State:

What internal policies communicate

| The content of internal policy documents",Organisation's values and expectations with respect to the behaviours and the performance of its employees
"# Fill The Blank:

Internal policy documents are often called .................. policies and define what is ................... and ....................... behaviour in the workplace

| The content of internal policy documents","Workplace, Acceptable, Unacceptable"
"# State:

2 examples of internal policies

| The content of internal policy documents","2 of:
* Annual leave and sickness
* IT security and data protection
* Maternity, paternity and parental leave
* Smoking
* Dress code
* Whistleblowing
* Bullying and harassment
* Health and safety
* Social media
* Acceptable use
* Diversity and inclusion"
"# Define:

Company Culture

| Company culture and how this is established, communicated and sustained","Shared values, beliefs and expectations that assist in guiding, motivating and informing the actions of its workforce"
"# Fill The Blank:

A good company culture can lead to good .................. ..................... and a happy, motivated workforce means a more .................... workforce and employees are less likely to look for ......... elsewhere","Leadership behaviours, Effective, Jobs"
"# Define:

Leadership behaviours

| Company culture and how this is established, communicated and sustained",The mannerisms and actions that make people effective leaders
"# Fill The Blank:

Communication in a company should not be .........-...........

| Company culture and how this is established, communicated and sustained",One-sided
"# State:

2 things people in the workplace should be allowed to do

| Company culture and how this is established, communicated and sustained","* Put their ideas/suggestions forward for consideration in relation to working processes and practices - employees are usually the ones that can notice needs for change
* Give feedback on current company culture - positives and negatives"
"# Fill The Blank:

It is important a company provide ................... to help their workforce protect and maintain their ............. which encourages a positive company culture

| Company culture and how this is established, communicated and sustained","Resources, Health"
"# Fill The Blank:

What 2 things could a new digital systems cause employees to be concerned about

| Company culture and how this is established, communicated and sustained","* Job security - losing their job
* Having to learn new skills"
"# Fill The Blank:

A company should ..................... well with employees to reduce concern in employees from change and get ............... from employees on these changes to analyse and improve

| Company culture and how this is established, communicated and sustained","Communicate, Feedback"
"# State:

4 key factors in fostering a positive company culture

| Company culture and how this is established, communicated and sustained","* Clear, inclusive and engaging explanations of the company's culture and its goals
* Mutual respect between the management team and the rest of the workforce
* Continuous communication between management and the workforce
* Transparency and prompt communication of potential changes
* Development of workforce participation by encouraging them to put forward ideas, suggestions and concerns
* Provision of resources that will support the health and wellbeing of the workforce"
"# Define:

Whistleblower

| Whistleblowing",A worker who reports wrongdoing that has a negative impact on other people and is in the public interest
"# State:

What protects a whistleblower

| Whistleblowing",Whistleblowers are protected by the law meaning they cannot be treated unfairly or lose their job due to reporting a wrongdoing
"# State:

4 examples of whistleblowing complaints

| Whistleblowing","* Criminal offence (e.g fraud)
* Danger of health and safety
* Risk of or physical damage to the environment
* Organisation is breaking the law
* Someone is covering up a wrongdoing
* There has been miscarriage of justice"
"# Fill The Blank:

Whistleblowing complaints cannot include ................ grievances unless it is in the ............ interest

| Whistleblowing","Personal, Public"

Question,Answer
"# Define:

Situational awareness",Knowing what is going on around you
"# State:

The 3 levels of situational awareness","Level 1 - hear, see, become aware using observational techniques
Level 2 - Understanding what you have become aware of
Level 3 - Using what you have understood to inform future actions"
"# State:

""Being able to establish a person's normal behaviour in the working environment to be aware of when they are out of character""

| Observational Techniques",Observing Normal Behaviour
"# Explain:

Awareness of co-workers

| Observational Techniques","Be aware of your co-workers and be able to notice if something appears wrong - stressed, ill etc. and be able to offer help if needed"
"# Explain:

Recognising change or abnormal behaviour

| Observational Techniques",Being aware of normal behaviour allows you to be immediately aware if there is a change and future actions are determined by what you believe to be the cause

Question,Answer
"# Fill The Blank:

An increase in use of digital technology has change the way that people and ...........   .................. and collaborate in the ........................ and on a personal level","Society, Connect, Workplace"
"# Fill The Blank:

There are positive impacts from digital technologies with increased levels of ............... and ............. interaction in relation to ........, social interaction and .......................","Communication, Social, Time, Boundaries"
"",""
"# Fill The Blank:

With modern communication, digital, communication platforms we can talk to people in other countries and learn about their ................. and countries expanding our own ........................ and understanding. There is also new opportunities for ...................","Culture, Knowledge, Learning"
"# Fill The Blank:

An increase in digital technology has also had negative impacts such as excessive use  has lead to reduced ............. and ..................... development and sometimes .......... and .............. wellbeing","Cognitive, Behavioural, Mental, Physical"
"# Fill The Blank:

Increased digital technology in the workplace can result in ................... of jobs and threatens job ...................","Fragmentation, Security"
"# Define:

Cognitive Development","How we think, explore and work things out. Development of our knowledge, skills, understanding and ability to solve problems"
"# Define:

IoT","Internet of Things - System of interrelated, internet-connected objects that collect and transfer data over a network without human intervention"
"# State:

4 pillars of IoT","People
Processes
Data
Things"
"# State:

One way that people have connected to the internet has changed in recent years",Wearable technologies/Smart devices
"# Fill The Blank:

IoT has revolutionised the way organisations manage their businesses, for example .............. are used in warehouses by businesses like Amazon to be able to predict ................... and minimise ....... and improve safety. This convenience of online shopping has however had a negative effect on ........ ............ shops","Sensors, Failures, Risk, High Street"
"# Fill The Blank:

Data is maximised to get more useful information for ................. making, with huge amounts of data gathered through IoT that is used for improving ..................... and .................... Data can take many forms and can be gathered from many types of organisations, but primarily ......... .........","Decision, Operations, Functionality, Social Media"
"# Fill The Blank:

Digital ............. benefits from how IoT helps in .................... social media marketing","Marketing, Automating"
"# Define:

Things",Physical devices and objects connected to the internet and each other for intelligent decision making
"# Fill The Blank:

The Internet of ................ is the connection of ............. objects which could be sensors, devices and more  - often Machine to ................. communication technology","Everything, Physical, Machine"
"# State:

3 ways data that IoT provides can be analysed and used","* Automate work processes and streamline workflow
* Develop visualisation patterns of usage
* Enable organisations to effectively compete in a continuous changing business environment"
