Question,Answer
"# Fill The Blank:

After planning, the digital change is ...................... and .......................... while also testing the is working as intended and it does not impact other ....................

| CAB - Change Advisory Board","Implemented, Documented, Processes"
"# Explain:

Briefly, Standard Technical Change Management",Known changes to services and/or IT system infrastructure with low risks and impacts on business; pre-approved by senior management
"# Explain:

Briefly, Normal Technical Change Management",Changes that have to be approved prior to being carried out with high risk and must be approved via CAB - may have an impact on the business' ability to function
"# Explain:

Briefly, Emergency Technical Change Management",Critical changes that must be carried out as a matter of urgency - cannot be planned for
"# Fill The Blank:

Identify the intended changes and the ............... behind the changes as well as ....... and anticipated timescales

| Identifying the changes to be made","Reasons, Risks"
"# Fill The Blanks:

The risks involved must be communicated .............. and timely to all relevant ....................

| Identifying, communicating potent. risks, wanted impacts to stakeholders","Positively, Stakeholders"
"# Fill The Blank:

All stakeholders must be .................... any changes will not cause too much ................... to them.

| Identifying, communicating potent. risks, wanted impacts to stakeholders","Confident, Disruption"
"# Fill The Blank:

Any planning of changes must be .................... so people carrying out changes can implement them in the correct ........... using the correct .................... etc.

| Configuration of the new system and process","Documented, Order, Equipment"
"# Fill The Blank:

All changes must be ............... to ensure that systems and processes work as ....................

| Configuration of the new system and process","Tested, Intended"
"# Explain:

Briefly, direct changeover

| Methods of implementing change",Major change launched all at once as opposed to more conservative approaches
"# State:

2 advantages of direct changeover

| Methods of implementing change","* Low cost/Cheap
* Only one system running at a time"
"# State:

2 disadvantages of direct changeover

| Methods of implementing change","2 of:
* Staff require training or may be slow to pickup the system at first without training
* Data can be lost permanently
* Difficult to plan"
"# Explain:

Briefly, Parallel changeover

| Methods of implementing change",Old and new system run simulatenously until new system is ready to be fully adopted
"# State:

2 advantages of parallel changeover

| Methods of implementing change","* Staff will be less overwhelmed by being given time to adjust
* If new system fails, old one still available"
"# State:

1 disadvantage of parallel changeover

| Methods of implementing change",Costly; have to pay for both to run + staff
"# Explain:

Briefly, Pilot changeover

| Methods of implementing change",Testing a new system within a department or office before fully rolling it out to the whole company
"# State:

2 advantages of pilot changeover

| Methods of implementing change","* System will be working correctly when rolled out to all users
* Allows for continuing development/changes, based off feedback"
"# State:

2 disadvantages of pilot changeover

| Methods of implementing change","* Takes a lot of time to be carried out
* Partaking in changeover pilot (the department/region) risks loss of data"
"# Explain:

Briefly, Phased changeover

| Methods of implementing change",Change from old to new system in stages to ensure all necessary fixes can be made during the changeover
"# State:

2 advantages of phased changeover

| Methods of implementing change","* Staff can be trained gradually with only current part of system
* Easier to find system errors"
"# State:

2 disadvantages of phased changeover

| Methods of implementing change","* More expensive than direct changeover as you have to test each phase seperately
* Takes a long time to implement whole system"

Question,Answer
"# Explain:

Impacts of loss of data on an organisation and its stakeholders

| Impact Of Loss","* Data/Info can be stolen or corrupted - so it can no longer be used
* If an organisation has data backed up then it can be restored quickly, but any changes since last backup will be lost"
"# Explain:

Impacts of financial loss on an organisation and its stakeholders

| Impact Of Loss","* Loss of orders/Invoices
* Paying workers for restore and recovery process
* If customer's personal data is compromised, organisation will have to pay compensation
* Pay for increases in security and loss prevention
* Loss of sales from customer's loss of confidence in a business
* Customer's could have their identity stolen by attackers and used to obtain loans and credit cards"
"# Explain:

Impact of reputational loss on an organisation

| Impact Of Loss","* Business will not be considered trustworthy by customers or suppliers and stability of company function threatened or reduced
* Customers could change to another supplier as a result, or suppliers may refuse to make sales to a business"
"# Explain:

Impact of operational disruption

| Impact Of Disruption","* Data may have to be reinstalled, impacting running of the business
* Reinstallation/recovery can be time-consuming
* Some organisations rely more on data and in this case, business will be on hold until they have recovered"
"# Explain:

Impact of commercial disruption

| Impact Of Disruption","* Impact on day-to-day activities is the biggest impact
* Depending on type of attack and sector of the business can change how much operations are impacted - with some not being able to function at all after an attack"

Question,Answer
"# State:

6 different characteristics of end users that affect the use and characteristics of digital technologies","* Age
* Skills
* Education Level
* Internal or External Audience
* Level of technical knowledge
* Additional Needs"
"# Explain:

The affect an end user's **age** will have on the use and characteristics of a digital system","* Younger end user whos grown up with technology and are most likely to adapt to new digital technology that older users
* Important that a design considers a wide range of ages for their end users (customers or employees) and ensure that the systems associated software are simple to use"
"# Explain:

The affect an end user's **skills** will have on the use and characteristics of a digital system","* May factors contribute to people's skill with tech (age, location, socioeconomic status)
* All end users must be enabled to use the technology by being assisted in navigating and using it with minimal issues"
"# Explain:

The affect an end user's **education level** will have on the use and characteristics of a digital system","* If the end user has a low education level the technology should be simplified for use and incorporate language
* Can be difficult to balance for businesses to meet the needs of individuals of a wide range of education levels
* Can use graphics and video presentations instead of long text"
"# Explain:

The affect if an end user is part of an **internal/external audience** will have on the use and characteristics of a digital system","* Internal audience may be factory or warehouse workers; employees of the company whereas external audience is customers purchasing products/services
* External audience; use of e-commerce site - no knowledge, easy to use necessary
* Internal audience; management systems/logistic systems - internal knowledge"
"# Explain:

The affect an end user's **level of technical knowledge** will have on the use and characteristics of a digital system","* Can be related to age, skills and education level
* Exposure a person has had to technology and how much they have used it can have an impact on their technical knowledge
* Can be limits to a person's technical knowledge with respect to the specific product or service
* Difficult to use websites for help when they do not understand technical terms - restricted access"
"# Explain:

The affect an end user's **additional needs** will have on the use and characteristics of a digital system","* Includes people with disabilities (visual, speech, hearing impairments)
* Technology must be implemented to be accessible by all end users regardless of situation
* Organisations should research different types of end users, their characteristics, people accessing their services/products - can use personas based on research results"
"# State:

4 positive characteristics the impact of digital technology has had on end users","4 of:
* Across devices - Possible to access content across multiple devices (assisted by cloud services)
* Mobile - Mobile technology enables access anywhere, anytime
* Personalised - Everyone has own set of 'tools' they use regularly creating their own personal digital environment
* Connceted/global - People can connect on a global scale using social media, email, sms and online meeting platforms
* Ubiquitous (found everywhere) - Almost all locations have WiFi to be allow to be constantly online
* Interactive - Web allows for greater interaction than in the past"
"# State:

4 negative characteristics the impact of digital technology has had on end users","4 of:
* Insecure - Some sites and apps are not secure where an end user wants reassurance that any interaction is safe
* Accessiblity - Some digital technology, like websites, are not well designed and do not consider the needs of an end user - particularly those with accessiblity issues
* Quantity - too m,uch information can make it difficult for the end user to find the information they want
* Time-consuming - participating in online platforms like social media can be time consuming
* Trivial - important information available is useful and it can be challenging if a person has to filter out too much information they do not want
* Cost - resources and tools can be costly
* Unrelialbe/Insecure - Sometimes apps, websites and digital technology can crash or get hacked - has an impact on an organisation as well as its end users
* Transitory - technology is constantly changing - organisations must consider that all end users will have got used to using current systems if interfaces suddenly change
* Connectivity - True that there is almost full access, when connections fails and end users lose access it can be frustrating"
